MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
1,Ackley Pl,2,Jamaica Plain,8:00,12:00,Even,Washington St,Dead End,0.0455,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2,Arcadia Park,3,North Dorchester,8:00,12:00,Even,Draper St,Ditson St,0.0835,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Ashcroft St,2,Jamaica Plain,8:00,12:00,Odd,Perkins St,Moraine St,0.1015,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4,Boylston St,1B,Back Bay,0:01,7:00,,Tremont St,Charles St,0.1519,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,Chestnut St,1H,Beacon Hill,8:00,12:00,Even,Walnut St,Charles St,0.2008,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6,Blackwood St,1B,Back Bay,8:00,12:00,Even,St Botolph St,Dead End,0.0517,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,Bucknam St,10M,Mission Hill,12:00,16:00,Odd,Lawn St,Fisher Ave,0.0803,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Acadia St,5,South Boston,9:00,13:00,Even,East First St,East Second St,0.0568,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
9,Acadia St,5,South Boston,9:00,13:00,Odd,East First St,East Second St,0.0568,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,Allston St,7,South Dorchester,12:00,16:00,Odd,Centre St,Melville Ave,0.1955,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Abbotsford St,10R,Roxbury,8:00,12:00,Odd,Walnut Ave,Harold St,0.121,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
13,Brooks St,9,East Boston,12:00,16:00,Even,Cheslea St,Princeton St,0.2093,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Bullard St,3,North Dorchester,12:00,16:00,Odd,Bowdoin St,Bowdoin Ave,0.1991,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Centre St,7,South Dorchester,8:00,12:00,Even,Talbot Ave,Dorchester Ave,0.5405,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Appleton St,1S,South End,12:00,16:00,Odd,Tremont St,West Canton St,0.3938,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Boylston St,2,Jamaica Plain,8:00,12:00,Odd,Lamartine St,Washington St,0.3515,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,Ames St,7,South Dorchester,8:00,12:00,Odd,Westview St,Dead End,0.3042,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
20,Caryll St,7,South Dorchester,12:00,16:00,Odd,Morton St,Maryknoll St,0.1705,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
22,Braemore Rd,4,Allston/Brighton,12:00,16:00,Odd,Commonwealth Ave,Chiswick Rd,0.0943,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,Chatham St,1F,Downtown,0:01,7:00,,Merchants Row,Commercial St,0.1047,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
24,Bismarck St,2,Jamaica Plain,8:00,12:00,Even,Boylston St,Porter St,0.0379,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,Chestnut Ave,2,Jamaica Plain,12:00,16:00,Even,Centre St,Mozart St,0.235,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Central St,1F,Downtown,0:01,7:00,,India St,Dead End,0.0795,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,Bradeen St,2,Jamaica Plain,12:00,16:00,Odd,Washington St,Dead End,0.1848,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
28,Amory St,10R,Roxbury,8:00,12:00,Even,Dimock St,School St,0.193,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
29,Chiswick Rd,4,Allston/Brighton,8:00,12:00,Even,Chestnut Hill Ave,Dead End,0.1438,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,Bunker Hill St,1C,Charlestown,8:00,12:00,Even,Moulton St,Medford St,0.9085,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
31,Bluefield Ter,7,South Dorchester,12:00,16:00,Even,Gladeside Ave,Ridgeview Ave,0.1117,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
32,Ceylon St,3,North Dorchester,12:00,16:00,Even,Quincy St,Columbia Rd,0.1769,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
33,Chestnut St,1H,Beacon Hill,8:00,12:00,Even,Charles St,David G Mugar Way,0.1627,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
34,Bennett St,4,Allston/Brighton,12:00,16:00,Odd,Market St,South Hobbart St,0.3021,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,Brunswick St,3,North Dorchester,12:00,16:00,Odd,Blue Hill Ave,Normandy St,0.1273,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36,Bremen St,9,East Boston,12:00,16:00,Even,Sumner St,Porter St,0.347,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
37,Charles St,3,North Dorchester,8:00,12:00,Even,Dorchester Ave,Geneva Ave,0.2737,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,Charles St,3,North Dorchester,8:00,12:00,Odd,Dorchester Ave,Geneva Ave,0.2737,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,Abbotsford St,10R,Roxbury,8:00,12:00,Even,Walnut Ave,Harold St,0.121,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
40,Anderson St,1H,Beacon Hill,8:00,12:00,Odd,Cambridge St,Myrtle St,0.1252,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,Clearwater Dr,7,South Dorchester,12:00,16:00,Odd,Morton St,Maryknoll St,0.2354,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
42,Bluefield Ter,7,South Dorchester,12:00,16:00,Odd,Gladeside Ave,Ridgeview Ave,0.1117,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
43,Beaver St,1H,Beacon Hill,8:00,12:00,Odd,Beacon St,Beaver Pl,0.0373,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
44,Arlington Ave,1C,Charlestown,8:00,12:00,Even,Alford St,Somerville Town Line,0.1898,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
45,Bedford St,1T,Chinatown,0:01,7:00,,Chauncy St,Summer St,0.1432,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
46,Charlame St,10R,Roxbury,12:00,16:00,Odd,Laurel St,Dead End,0.1182,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,Belvidere St,1B,Back Bay,12:00,16:00,Odd,Massachusetts Ave,Dalton St,0.1525,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
48,Bennett St,4,Allston/Brighton,8:00,12:00,Odd,Market St,Oakland St,0.4112,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,Charles St,M,Multiple,2:00,7:00,Odd,Boylston St,Nashua St,1.0884,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
50,Calumet St,10M,Mission Hill,12:00,16:00,Odd,Tremont St,Parker Hill Ave,0.5669,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,Atlantic Ave,1F,Downtown,0:01,7:00,,State St,Milk St,0.0604,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
52,Boylston St,1B,Back Bay,0:01,7:00,Odd,Arlington St,Hereford St,0.7949,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
53,Chelsea St,9,East Boston,8:00,12:00,Odd,Porter St,Prescott St,0.4913,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
54,Aspinwall Rd,7,South Dorchester,12:00,16:00,Odd,Washington St,Talbot Ave,0.1837,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
55,Carson St,3,North Dorchester,8:00,12:00,Even,Crescent Ave,Sydney St,0.1138,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,Blakeville St,3,North Dorchester,12:00,16:00,Odd,Bowdoin St,Olney St,0.1235,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
57,Cambria St,1B,Back Bay,0:01,7:00,,Boylston St,Dead End,0.1025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,A St,5,South Boston,9:00,13:00,Even,Melcher St,Congress St,0.103,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Chelsea St,9,East Boston,12:00,16:00,Even,Maverick St,Porter St,0.2506,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
60,Alaska St,10R,Roxbury,8:00,12:00,Odd,Perrin St,Blue Hill Ave,0.1119,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Blue Hill Ave,10R,Roxbury,0:01,7:00,,Dudley St,Blue Hill Ave,1.1797,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
62,Adams St,1C,Charlestown,8:00,12:00,Odd,Winthrop St,Lowney Way,0.1222,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
63,Charlesgate East,99,DCR,12:00,15:00,,Dead End,Back St,0.0203,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
64,Calumet St,10M,Mission Hill,12:00,16:00,Even,Tremont St,Parker Hill Ave,0.5669,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
65,Arborcrest Ter,7,South Dorchester,12:00,16:00,Even,Gladeside Ave,Ridgeview Ave,0.0922,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
66,Castle Rock St,3,North Dorchester,12:00,16:00,Even,Grampian Way,Caspian Way,0.0741,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,Armstrong St,2,Jamaica Plain,12:00,16:00,Odd,Chestnut Ave,Mozart St,0.1049,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,Chaucer St,9,East Boston,12:00,16:00,Odd,Curtis St,Moore St,0.1127,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
69,Bloomfield St,3,North Dorchester,12:00,16:00,Even,Geneva Ave,Greenbrier St,0.3032,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,Carlos St,7,South Dorchester,8:00,12:00,Even,Woodrow Ave,Callender St,0.0653,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
71,Adams St,7,South Dorchester,8:00,12:00,Odd,Dorchester Ave,Park St,0.1739,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
72,Brighton St,1C,Charlestown,8:00,12:00,Odd,Dead End,Caldwell St,0.0377,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
73,Columbus Ave,M,Multiple,5:00,7:00,Odd,Tremont St,Boylston St,0.1903,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
