FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape__Length
1001,8325,Cambridge Street,6269000,3,2,1,2015,BFBL,405.776829976169
1002,8326,American Legion Highway,6232400,5,2,1,2008,SLM,141.028948184102
1003,2,Veterans Of Foreign Wars Parkway,4847800,2,3,1,2013,BL,111.516092027947
1004,8327,American Legion Highway,6222900,5,2,1,2009,BFBL,183.328802415043
1005,8328,Walk Hill Street,5133300,5,2,0,2015,BL,402.277051748332
1006,8329,South Street,4774800,6,2,0,2018,SBL,90.7503129997971
1007,8330,Arborway,5764200,0,3,1,2018,SBL,632.595411218353
1008,8331,South Huntington Avenue,5127700,5,2,0,2010,BL,269.022963998793
1009,8332,South Street,5167000,5,2,0,2010,SLM,63.6565098623794
1010,8333,South Street,4750100,5,2,0,2010,SLM,53.0585722761327
1011,8334,Centre Street,4734100,5,2,0,2010,BL,58.2855845229625
1012,8335,Centre Street,4697700,5,2,0,2010,BL,75.5611421600566
1013,8336,Centre Street,4702900,5,2,0,2010,BL,34.0547563972274
1014,8337,Centre Street,4686700,5,2,0,2010,BL,79.5414862298198
1015,8338,Huntington Avenue,6270800,3,2,1,2013,SLM,95.0689133954781
1016,8339,Commonwealth Avenue,6294400,3,2,1,2018,SBL,317.732731104561
1017,8340,American Legion Highway,5120300,5,2,1,2008,BL,832.363204588038
1018,8341,Walk Hill Street,5688900,5,2,0,2015,BL,148.201206698464
1019,8342,Arborway,5241500,0,3,1,2018,SBL,56.754895624324
1020,8343,James Shea Circle,5489300,2,1,1,2018,SBL,24.0537407256034
1021,8344,Huntington Avenue,5679400,3,2,0,2013,SLM,152.90519943504
1022,8345,Brookline Avenue,4570000,2,2,0,2013,SLM,90.1765663201588
1023,8346,Longwood Avenue,5318500,5,2,0,2015,BLSL,28.164744868011
1024,8347,Brookline Avenue,6297900,2,2,0,2013,BLSL,135.561963275305
1025,8348,Commonwealth Avenue,5176700,3,2,1,2008,BL,261.115096426833
1026,8349,Park Drive,5383400,2,2,0,2015,BL,20.048070734996
1027,8350,Commonwealth Avenue,6233600,3,2,1,2008,BL,177.352206993852
